GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck,Engine,367,1003,44,96,97,250,50,70,14,36
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck,Engine.Mode,0,103,0,0,0,10,0,4,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck,AnalysisTask,52,57,0,4,8,16,0,6,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,NuspecAnalyzer,12,142,3,5,4,32,3,9,0,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,AbstractSuppressionAnalyzer,240,167,15,15,55,46,15,10,3,7
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,OpenSSLAnalyzer,25,177,8,6,3,31,7,10,0,10
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,PythonPackageAnalyzer,263,60,20,0,56,13,19,4,9,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,RubyGemspecAnalyzer,354,24,42,0,75,6,29,3,8,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,AbstractNpmAnalyzer,203,426,36,26,44,75,26,15,2,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,NodePackageAnalyzer,207,259,19,21,39,61,18,11,0,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,MSBuildProjectAnalyzer,210,27,10,0,41,6,10,3,5,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,DependencyMergingAnalyzer,231,99,60,16,44,22,39,11,1,11
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,AbstractFileTypeAnalyzer,6,62,1,7,1,21,1,10,0,7
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,CMakeAnalyzer,226,34,10,0,57,6,11,3,6,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,AssemblyAnalyzer,378,169,43,5,107,43,26,9,2,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,VulnerabilitySuppressionAnalyzer,0,12,0,0,0,5,0,5,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,ComposerLockAnalyzer,164,19,2,0,32,4,6,3,5,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,AnalyzerService,10,85,3,9,4,24,4,7,1,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,AbstractAnalyzer,17,65,0,6,4,25,0,15,0,12
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,CocoaPodsAnalyzer,366,31,30,0,82,6,24,3,9,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,NugetconfAnalyzer,208,21,6,0,40,5,8,3,5,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,AnalysisPhase,0,114,0,0,0,12,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,CPEAnalyzer,271,1044,36,128,64,224,29,73,1,19
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,AutoconfAnalyzer,226,66,34,0,51,9,25,3,8,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,RetireJsAnalyzer,185,339,22,27,37,78,17,19,0,10
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,VersionFilterAnalyzer,0,249,3,67,0,35,3,38,0,6
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,ArchiveAnalyzer,469,777,73,83,92,162,57,42,0,21
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,NexusAnalyzer,227,56,29,1,58,18,18,9,3,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,CentralAnalyzer,146,241,15,21,42,67,13,18,1,12
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,FileNameAnalyzer,0,149,2,8,0,20,2,9,0,6
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,JarAnalyzer,433,2448,123,291,83,447,111,125,1,28
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,ArtifactoryAnalyzer,200,40,20,0,53,12,14,8,4,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,NspAnalyzer,67,210,3,11,18,46,3,12,0,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,RubyBundleAuditAnalyzer,728,130,77,5,179,34,48,8,7,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,AbstractDependencyComparingAnalyzer,3,84,0,14,1,21,1,11,1,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.analyzer,FalsePositiveAnalyzer,474,744,122,130,56,141,84,58,0,16
